CODE_DEP,DÉPARTEMENT,CODE_COM,COMMUNE,Inscrits,Abstentions,Votants,Blancs_et_nuls,Exprimés,Voix_oui,Pourcent_oui,Voix_non,Pourcent_non
1,AIN,1,L'Abergement-Clémenciat,597,178,419,8,411,189,"45,99 %",222,"54,01 %"
1,AIN,2,L'Abergement-de-Varey,193,47,146,4,142,63,"44,37 %",79,"55,63 %"
1,AIN,4,Ambérieu-en-Bugey,7 574,2 797,4 777,99,4 678,1 885,"40,29 %",2 793,"59,71 %"
1,AIN,5,Ambérieux-en-Dombes,914,267,647,21,626,238,"38,02 %",388,"61,98 %"
1,AIN,6,Ambléon,102,21,81,4,77,35,"45,45 %",42,"54,55 %"
1,AIN,7,Ambronay,1 571,450,1 121,29,1 092,423,"38,74 %",669,"61,26 %"
1,AIN,8,Ambutrix,482,108,374,10,364,117,"32,14 %",247,"67,86 %"
1,AIN,9,Andert-et-Condon,254,64,190,7,183,80,"43,72 %",103,"56,28 %"
1,AIN,10,Anglefort,556,158,398,5,393,144,"36,64 %",249,"63,36 %"
1,AIN,11,Apremont,245,58,187,4,183,65,"35,52 %",118,"64,48 %"
1,AIN,12,Aranc,281,80,201,7,194,77,"39,69 %",117,"60,31 %"
1,AIN,13,Arandas,144,32,112,0,112,37,"33,04 %",75,"66,96 %"
1,AIN,14,Arbent,1 836,591,1 245,36,1 209,528,"43,67 %",681,"56,33 %"
1,AIN,15,Arbignieu,370,96,274,7,267,147,"55,06 %",120,"44,94 %"
1,AIN,16,Arbigny,286,107,179,3,176,87,"49,43 %",89,"50,57 %"
1,AIN,17,Argis,286,60,226,6,220,64,"29,09 %",156,"70,91 %"
1,AIN,19,Armix,34,1,33,1,32,12,"37,50 %",20,"62,50 %"
1,AIN,21,Ars-sur-Formans,774,200,574,17,557,268,"48,11 %",289,"51,89 %"
1,AIN,22,Artemare,778,259,519,8,511,211,"41,29 %",300,"58,71 %"
1,AIN,23,Asnières-sur-Saône,60,10,50,0,50,13,"26,00 %",37,"74,00 %"
1,AIN,24,Attignat,1 605,487,1 118,32,1 086,516,"47,51 %",570,"52,49 %"
1,AIN,25,Bâgé-la-Ville,1 685,485,1 200,45,1 155,439,"38,01 %",716,"61,99 %"
1,AIN,26,Bâgé-le-Châtel,528,138,390,16,374,184,"49,20 %",190,"50,80 %"
1,AIN,27,Balan,999,249,750,13,737,307,"41,66 %",430,"58,34 %"
1,AIN,28,Baneins,387,117,270,16,254,108,"42,52 %",146,"57,48 %"
1,AIN,29,Beaupont,385,130,255,8,247,95,"38,46 %",152,"61,54 %"
1,AIN,30,Beauregard,492,164,328,4,324,157,"48,46 %",167,"51,54 %"
1,AIN,31,Bellignat,1 890,717,1 173,33,1 140,523,"45,88 %",617,"54,12 %"
1,AIN,32,Béligneux,1 725,541,1 184,24,1 160,566,"48,79 %",594,"51,21 %"
1,AIN,33,Bellegarde-sur-Valserine,5 791,2 291,3 500,66,3 434,1 403,"40,86 %",2 031,"59,14 %"
1,AIN,34,Belley,4 634,1 538,3 096,96,3 000,1 556,"51,87 %",1 444,"48,13 %"
1,AIN,35,Belleydoux,245,57,188,4,184,80,"43,48 %",104,"56,52 %"
1,AIN,36,Belmont-Luthézieu,382,94,288,8,280,152,"54,29 %",128,"45,71 %"
1,AIN,37,Bénonces,201,48,153,5,148,86,"58,11 %",62,"41,89 %"
1,AIN,38,Bény,526,166,360,9,351,190,"54,13 %",161,"45,87 %"
1,AIN,39,Béon,309,82,227,3,224,85,"37,95 %",139,"62,05 %"
1,AIN,40,Béreyziat,243,71,172,10,162,80,"49,38 %",82,"50,62 %"
1,AIN,41,Bettant,544,144,400,9,391,125,"31,97 %",266,"68,03 %"
1,AIN,42,Bey,173,40,133,7,126,60,"47,62 %",66,"52,38 %"
1,AIN,43,Beynost,2 764,768,1 996,41,1 955,1 094,"55,96 %",861,"44,04 %"
1,AIN,44,Billiat,322,91,231,7,224,88,"39,29 %",136,"60,71 %"
1,AIN,45,Birieux,151,36,115,1,114,42,"36,84 %",72,"63,16 %"
1,AIN,46,Biziat,511,155,356,12,344,124,"36,05 %",220,"63,95 %"
1,AIN,47,Blyes,539,140,399,15,384,157,"40,89 %",227,"59,11 %"
